origem_id,destino_id,tipo
19,140,Amigo
126,214,Amigo
146,112,Amigo
87,40,Amigo
23,1,Amigo
186,209,Amigo
235,121,Amigo
33,91,Amigo
86,247,Amigo
199,126,Amigo
94,69,Amigo
110,17,Amigo
85,158,Amigo
113,211,Amigo
192,54,Amigo
124,62,Amigo
62,88,Amigo
115,159,Amigo
229,27,Amigo
243,107,Amigo
29,160,Amigo
44,73,Amigo
25,194,Amigo
80,149,Amigo
185,72,Amigo
7,233,Amigo
20,53,Amigo
242,88,Amigo
13,10,Amigo
186,77,Amigo
56,67,Amigo
81,35,Amigo
113,240,Amigo
218,210,Amigo
202,233,Amigo
35,171,Amigo
185,93,Amigo
154,129,Amigo
232,131,Amigo
139,116,Amigo
126,48,Amigo
222,134,Amigo
7,101,Amigo
224,230,Amigo
232,80,Amigo
107,97,Amigo
150,13,Amigo
144,213,Amigo
78,34,Amigo
41,127,Amigo
198,96,Amigo
203,227,Amigo
11,50,Amigo
5,50,Amigo
37,228,Amigo
10,185,Amigo
230,108,Amigo
79,53,Amigo
56,2,Amigo
40,167,Amigo
172,132,Amigo
84,213,Amigo
74,15,Amigo
3,202,Amigo
114,98,Amigo
103,71,Amigo
97,237,Amigo
109,72,Amigo
74,38,Amigo
104,52,Amigo
210,12,Amigo
166,151,Amigo
5,110,Amigo
162,69,Amigo
99,147,Amigo
88,195,Amigo
204,27,Amigo
132,25,Amigo
124,88,Amigo
114,128,Amigo
81,223,Amigo
64,110,Amigo
66,237,Amigo
39,180,Amigo
35,100,Amigo
57,53,Amigo
152,78,Amigo
187,85,Amigo
50,206,Amigo
229,85,Amigo
192,20,Amigo
117,237,Amigo
37,87,Amigo
47,231,Amigo
52,16,Amigo
230,20,Amigo
160,188,Amigo
178,23,Amigo
153,30,Amigo
80,212,Amigo
76,24,Amigo
24,241,Amigo
5,231,Amigo
73,37,Amigo
55,175,Amigo
103,56,Amigo
35,244,Amigo
60,185,Amigo
77,242,Amigo
89,159,Amigo
161,206,Amigo
243,20,Amigo
85,247,Amigo
126,89,Amigo
211,22,Amigo
14,7,Amigo
134,20,Amigo
38,3,Amigo
84,75,Amigo
102,156,Amigo
149,69,Amigo
33,81,Amigo
247,10,Amigo
143,139,Amigo
238,235,Amigo
75,147,Amigo
199,227,Amigo
146,110,Amigo
214,147,Amigo
223,72,Amigo
180,241,Amigo
12,17,Amigo
114,38,Amigo
105,5,Amigo
240,205,Amigo
8,216,Amigo
147,29,Amigo
52,210,Amigo
175,55,Amigo
7,32,Amigo
170,159,Amigo
49,193,Amigo
100,203,Amigo
201,193,Amigo
53,18,Amigo
4,243,Amigo
250,170,Amigo
88,181,Amigo
104,202,Amigo
79,137,Amigo
231,247,Amigo
191,191,Amigo
64,110,Amigo
147,48,Amigo
47,56,Amigo
58,53,Amigo
35,46,Amigo
187,87,Amigo
53,159,Amigo
232,208,Amigo
142,28,Amigo
101,89,Amigo
41,203,Amigo
138,23,Amigo
32,147,Amigo
212,71,Amigo
205,56,Amigo
10,118,Amigo
185,199,Amigo
178,185,Amigo
78,173,Amigo
30,174,Amigo
136,99,Amigo
67,217,Amigo
7,129,Amigo
195,41,Amigo
155,109,Amigo
3,222,Amigo
63,150,Amigo
3,167,Amigo
131,226,Amigo
139,201,Amigo
6,8,Amigo
20,158,Amigo
58,140,Amigo
224,177,Amigo
157,15,Amigo
24,75,Amigo
240,62,Amigo
55,2,Amigo
245,24,Amigo
196,183,Amigo
39,234,Amigo
214,158,Amigo
33,186,Amigo
211,98,Amigo
181,30,Amigo
99,119,Amigo
82,123,Amigo
10,207,Amigo
125,82,Amigo
93,139,Amigo
245,245,Amigo
148,48,Amigo
144,215,Amigo
71,57,Amigo
168,246,Amigo
176,107,Amigo
151,106,Amigo
223,192,Amigo
152,66,Amigo
146,43,Amigo
42,82,Amigo
235,74,Amigo
245,162,Amigo
73,185,Amigo
208,139,Amigo
133,57,Amigo
55,21,Amigo
214,5,Amigo
6,56,Amigo
51,52,Amigo
38,145,Amigo
134,156,Amigo
142,66,Amigo
183,18,Amigo
45,28,Amigo
110,143,Amigo
3,126,Amigo
167,224,Amigo
217,234,Amigo
140,95,Amigo
204,186,Amigo
171,12,Amigo
58,134,Amigo
163,180,Amigo
178,43,Amigo
131,179,Amigo
150,87,Amigo
90,53,Amigo
42,243,Amigo
90,84,Amigo
129,22,Amigo
148,233,Amigo
231,43,Amigo
128,89,Amigo
75,237,Amigo
112,217,Amigo
73,214,Amigo
155,141,Amigo
175,100,Amigo
213,110,Amigo
164,164,Amigo
158,61,Amigo
80,127,Amigo
213,136,Amigo
130,69,Amigo
29,232,Amigo
15,239,Amigo
238,59,Amigo
10,65,Amigo
202,205,Amigo
121,79,Amigo
35,187,Amigo
139,195,Amigo
145,155,Amigo
233,237,Amigo
192,115,Amigo
138,194,Amigo
47,168,Amigo
129,5,Amigo
204,225,Amigo
105,1,Amigo
180,76,Amigo
8,61,Amigo
223,150,Amigo
223,47,Amigo
162,126,Amigo
44,41,Amigo
219,156,Amigo
21,232,Amigo
203,141,Amigo
39,82,Amigo
25,140,Amigo
240,206,Amigo
122,174,Amigo
168,124,Amigo
182,223,Amigo
90,18,Amigo
234,178,Amigo
164,121,Amigo
76,78,Amigo
229,44,Amigo
207,166,Amigo
105,42,Amigo
81,20,Amigo
176,247,Amigo
199,140,Amigo
208,173,Amigo
81,21,Amigo
476,178,Participantar
494,162,Participantar
445,142,Participantar
427,148,Participantar
402,43,Participantar
421,32,Participantar
408,230,Participantar
408,51,Participantar
434,241,Participantar
428,28,Participantar
410,50,Participantar
486,134,Participantar
478,9,Participantar 
454,123,Participantar
413,214,Participantar
472,63,Participantar
451,131,Participantar
447,211,Participantar
418,244,Participantar
474,78,Participantar
401,43,Participantar
442,89,Participantar
466,29,Participantar
480,176,Participantar
492,64,Participantar
481,78,Participantar
451,102,Participantar
430,197,Participantar
482,93,Participantar
473,200,Participantar
468,209,Participantar
460,227,Participantar
411,59,Participantar
442,143,Participantar
421,185,Participantar
439,127,Participantar
406,49,Participantar
416,176,Participantar
462,224,Participantar
478,91,Participantar
457,136,Participantar
470,31,Participantar
466,168,Participantar
439,244,Participantar
430,245,Participantar
491,94,Participantar
450,201,Participantar
479,130,Participantar
483,73,Participantar
416,154,Participantar
438,209,Participantar
480,117,Participantar
486,164,Participantar
452,101,Participantar
492,215,Participantar
500,137,Participantar
457,77,Participantar
464,206,Participantar
402,28,Participantar
423,9,Participantar
409,48,Participantar
446,42,Participantar
414,72,Participantar
133,493,Participantar
203,420,Participantar
123,403,Participantar
242,478,Participantar
170,440,Participantar
232,462,Participantar
151,412,Participantar
96,431,Participantar
187,454,Participantar
152,498,Participantar
185,455,Participantar
127,414,Participantar
173,477,Participantar
123,483,Participantar
217,441,Participantar
243,431,Participantar
135,486,Participantar
51,402,Participantar
4,418,Participantar
78,433,Participantar
35,450,Participantar
117,402,Participantar
4,447,Participantar
185,411,Participantar
22,424,Participantar
212,413,Participantar
24,446,Participantar
37,477,Participantar
183,492,Participantar
151,461,Participantar
56,446,Participantar
204,478,Participantar
97,443,Participantar
163,453,Participantar
108,499,Participantar
149,476,Participantar
148,468,Participantar
160,461,Participantar
112,469,Participantar
109,461,Participantar
205,476,Participantar
25,488,Participantar
181,482,Participantar
127,441,Participantar
36,459,Participantar
36,435,Participantar
212,408,Participantar
99,434,Participantar
98,448,Participantar
28,492,Participantar
94,438,Participantar
146,499,Participantar
65,451,Participantar
144,489,Participantar
47,430,Participantar
148,486,Participantar
162,497,Participantar
107,421,Participantar
17,493,Participantar
