origem_id,destino_id,tipo
452,380,Apoiar
412,368,Apoiar
486,324,Apoiar
407,312,Hospedar
460,399,Patrocinar
488,342,Patrocinar
444,366,Apoiar
500,322,Colaborar
484,314,Hospedar
424,259,Apoiar
414,341,Hospedar
432,305,Patrocinar
402,267,Apoiar
434,393,Apoiar
415,370,Colaborar
422,303,Hospedar
493,333,Hospedar
403,340,Hospedar
447,380,Apoiar
452,347,Apoiar
420,255,Patrocinar
427,263,Hospedar
483,392,Hospedar
490,370,Hospedar
405,335,Colaborar
403,379,Apoiar
485,348,Patrocinar
422,293,Patrocinar
458,389,Patrocinar
485,348,Organiza
422,293,Organiza
458,389,Organiza
483,394,Colaborar
498,281,Hospedar
470,357,Patrocinar
474,325,Colaborar
493,302,Apoiar
464,266,Colaborar
438,259,Apoiar
450,394,Hospedar
475,365,Hospedar
464,380,Patrocinar
473,338,Apoiar
431,343,Colaborar
409,335,Hospedar
426,283,Patrocinar
402,273,Hospedar
448,300,Patrocinar
405,304,Colaborar
466,308,Colaborar
500,292,Hospedar
435,292,Apoiar
446,336,Hospedar
428,393,Colaborar
427,322,Hospedar
404,382,Hospedar
490,360,Colaborar
406,385,Hospedar
427,310,Apoiar
498,387,Patrocinar
431,303,Hospedar
401,317,Apoiar
417,322,Colaborar
487,284,Hospedar
416,349,Apoiar
492,265,Hospedar
415,337,Apoiar
429,364,Colaborar
436,387,Apoiar
455,383,Hospedar
422,299,Patrocinar
427,328,Hospedar
471,316,Colaborar
433,341,Apoiar
439,319,Colaborar
485,263,Patrocinar
443,298,Patrocinar
433,306,Patrocinar
454,273,Colaborar
434,294,Apoiar
491,268,Colaborar
408,254,Apoiar
454,323,Apoiar
403,395,Colaborar
446,279,Apoiar
483,257,Patrocinar
485,287,Patrocinar
451,382,Hospedar
422,318,Colaborar
495,299,Patrocinar
467,290,Hospedar
484,357,Apoiar
466,370,Patrocinar
475,311,Apoiar
413,309,Colaborar
473,377,Patrocinar
450,357,Apoiar
409,261,Apoiar
490,260,Apoiar
467,267,Patrocinar
421,362,Colaborar
429,285,Colaborar
423,353,Patrocinar
